Interval|"ms"|0|0|1,Utc|"ms"|0|0|1,AccelX|"G"|-3.0|3.0|50,AccelY|"G"|-3.0|3.0|50,AccelZ|"G"|-3.0|3.0|50,Yaw|"Deg/Sec"|-120|120|50,Pitch|"Deg/Sec"|-120|120|50,Roll|"Deg/Sec"|-120|120|50,FTTS1|""|0.0|1000.0|50,FTTS2|""|0.0|1000.0|50,FTTS3|""|0.0|1000.0|50,FTTS4|""|0.0|1000.0|50,FR|""|0.0|1000.0|50,TPS|""|0.0|1000.0|50,FBPS|""|0.0|1000.0|50,STR|""|0.0|1000.0|50,MPUAccX|""|-20.0|20.0|50,MPUAccY|""|-20.0|20.0|50,MPUAccZ|""|-20.0|20.0|50,YawMPU|""|-20.0|20.0|50,PitchMPU|""|-20.0|20.0|50,RollMPU|""|-20.0|20.0|50, RSTR|""|0.0|1000.0|50, RL|""|0.0|1000.0|50, RBPS|""|0.0|1000.0|50, RR |""|0.0|1000.0|50,Latitude|"Degrees"|-180.0|180.0|10,Longitude|"Degrees"|-180.0|180.0|10,Speed|"mph"|0.0|150.0|10,Altitude|"ft"|0.0|4000.0|10,GPSSats|""|0|20|10,LapCount|""|0|0|10,LapTime|"Min"|0.0|0.0|10,Sector|""|0|0|10,SectorTime|"Min"|0.0|0.0|10,PredTime|"Min"|0.0|0.0|10,ElapsedTime|"Min"|0.0|0.0|10,CurrentLap|""|0|0|10
2165457,1.58E+12,0.97,0.07,-0.04,0,1,0,0,0,0,0,0,0.9,1.41,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165477,1.58E+12,0.97,0.08,-0.03,0,1,0,0,0,0,0,0,0.89,1.43,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165497,1.58E+12,0.96,0.08,-0.03,0,1,0,0,0,0,0,0,0.89,1.43,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165517,1.58E+12,0.96,0.08,-0.04,0,0,0,0,0,0,0,0,0.89,1.43,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165537,1.58E+12,0.96,0.07,-0.04,0,1,0,0,0,0,0,0,0.89,1.43,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165557,1.58E+12,0.95,0.08,-0.04,0,1,0,0,0,0,0,0,0.89,1.43,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165577,1.58E+12,0.95,0.08,-0.03,0,1,0,0,0,0,0,0,0.96,1.43,3.02,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165597,1.58E+12,0.95,0.07,-0.04,0,1,0,0,0,0,0,0,0.96,1.43,3.02,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165617,1.58E+12,0.95,0.06,-0.04,0,1,0,0,0,0,0,0,0.96,1.43,3.02,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165637,1.58E+12,0.95,0.06,-0.05,0,1,0,0,0,0,0,0,0.96,1.43,3.02,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165657,1.58E+12,0.94,0.06,-0.05,0,1,0,0,0,0,0,0,0.96,1.43,3.02,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165677,1.58E+12,0.94,0.06,-0.05,0,1,0,0,0,0,0,0,0.89,1.43,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165697,1.58E+12,0.94,0.06,-0.06,0,0,0,0,0,0,0,0,0.89,1.43,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165717,1.58E+12,0.94,0.06,-0.06,0,0,0,0,0,0,0,0,0.89,1.43,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165737,1.58E+12,0.94,0.06,-0.06,0,0,0,0,0,0,0,0,0.89,1.43,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165757,1.58E+12,0.94,0.06,-0.06,0,0,0,0,0,0,0,0,0.89,1.43,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165777,1.58E+12,0.95,0.06,-0.06,0,0,0,0,0,0,0,0,0.89,1.43,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165797,1.58E+12,0.95,0.07,-0.08,0,0,0,0,0,0,0,0,0.89,1.43,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165817,1.58E+12,0.95,0.07,-0.1,0,0,0,0,0,0,0,0,0.89,1.43,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165837,1.58E+12,0.93,0.07,-0.12,0,-1,0,0,0,0,0,0,0.89,1.43,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165857,1.58E+12,0.92,0.07,-0.12,0,-1,0,0,0,0,0,0,0.89,1.43,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165877,1.58E+12,0.92,0.07,-0.12,0,-1,0,0,0,0,0,0,0.93,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165897,1.58E+12,0.91,0.03,-0.11,0,-1,0,0,0,0,0,0,0.93,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165917,1.58E+12,0.89,0.05,-0.12,0,0,0,0,0,0,0,0,0.93,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165937,1.58E+12,0.89,0.04,-0.11,0,-1,0,0,0,0,0,0,0.93,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165957,1.58E+12,0.88,0.04,-0.12,0,0,0,0,0,0,0,0,0.93,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165977,1.58E+12,0.89,0.04,-0.12,0,0,0,0,0,0,0,0,0.93,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2165997,1.58E+12,0.89,0.04,-0.11,0,0,0,0,0,0,0,0,0.93,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166017,1.58E+12,0.9,0.04,-0.12,0,0,0,0,0,0,0,0,1,1.43,3.05,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166037,1.58E+12,0.91,0.05,-0.11,0,0,0,0,0,0,0,0,1,1.43,3.05,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166057,1.58E+12,0.91,0.06,-0.11,0,0,0,0,0,0,0,0,1,1.43,3.05,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166077,1.58E+12,0.91,0.06,-0.1,0,0,0,0,0,0,0,0,1,1.43,3.05,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166097,1.58E+12,0.91,0.05,-0.1,0,0,0,0,0,0,0,0,1,1.43,3.05,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166117,1.58E+12,0.92,0.06,-0.09,0,0,0,0,0,0,0,0,0.99,1.45,3.06,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166137,1.58E+12,0.92,0.06,-0.06,0,0,0,0,0,0,0,0,0.99,1.45,3.06,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166157,1.58E+12,0.93,0.06,-0.07,0,0,0,0,0,0,0,0,0.99,1.45,3.06,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166177,1.58E+12,0.94,0.05,-0.07,0,0,0,0,0,0,0,0,0.99,1.45,3.06,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166197,1.58E+12,0.94,0.05,-0.07,0,0,0,0,0,0,0,0,0.99,1.45,3.06,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166217,1.58E+12,0.94,0.05,-0.07,0,0,0,0,0,0,0,0,0.91,1.44,2.96,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166237,1.58E+12,0.94,0.05,-0.07,0,0,0,0,0,0,0,0,0.91,1.44,2.96,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
