"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FR"|"Volts"|0.0|5.0|50,"brakerear"|"Volts"|0.0|5.0|50,"Analog3"|""|0.0|5.0|10,"Analog4"|""|0.0|5.0|10,"Analog5"|"Volts"|0.0|5.0|10,"brakepress"|"Volts"|0.0|5.0|50,"STR"|"Volts"|0.0|5.0|50,"Battery"|"Volts"|0.0|20.0|50,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|25,"tiretemp"|"celsius"|-1000|1000|10,"tiretemp1"|""|-1000|1000|10,"tiretemp2"|""|-1000|1000|10,"tiretemp3"|""|-1000|1000|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10
163,0,1.26,0.5,,,,0.2,2.84,3.37,-0.04,-0.0,0.52,0,1,1,0,,,,,,,,,,
183,0,1.25,0.5,,,,0.2,2.85,3.38,,,,,,,,,,,,,,,,,
203,0,1.25,0.5,,,,0.21,2.83,3.37,-0.03,-0.01,0.61,0,0,1,0,,,,,,,,,,
223,0,1.25,0.49,,,,0.21,2.84,3.39,,,,,,,,,,,,,,,,,
243,0,1.26,0.5,0.0,0.2,0.12,0.22,2.84,3.39,-0.03,-0.01,0.68,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
263,0,1.26,0.49,,,,0.22,2.84,3.39,,,,,,,,,,,,,,,,,
343,0,1.25,0.5,0.0,0.22,0.14,0.24,2.85,3.43,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
363,0,1.25,0.49,,,,0.24,2.83,3.41,-0.02,-0.01,0.83,-0,0,0,0,,,,,,,,,,
383,0,1.25,0.49,,,,0.25,2.82,3.44,,,,,,,,,,,,,,,,,
403,0,1.24,0.49,,,,0.25,2.81,3.42,-0.02,-0.01,0.86,-0,-0,0,0,,,,,,,,,,
423,0,1.24,0.49,,,,0.26,2.81,3.45,,,,,,,,,,,,,,,,,
443,0,1.24,0.49,0.0,0.23,0.16,0.26,2.8,3.42,-0.02,-0.01,0.89,-0,-0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
463,0,1.24,0.49,,,,0.27,2.8,3.45,,,,,,,,,,,,,,,,,
483,0,1.24,0.49,,,,0.27,2.8,3.42,-0.02,-0.02,0.91,-0,-0,0,0,,,,,,,,,,
503,0,1.23,0.49,,,,0.27,2.8,3.45,,,,,,,,,,,,,,,,,
523,0,1.23,0.49,,,,0.28,2.8,3.42,-0.01,-0.02,0.93,-0,-0,0,0,,,,,,,,,,
543,0,1.24,0.49,0.01,0.24,0.18,0.28,2.8,3.45,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
563,0,1.24,0.49,,,,0.28,2.8,3.44,-0.01,-0.02,0.94,-0,-0,0,0,,,,,,,,,,
583,0,1.24,0.49,,,,0.29,2.8,3.46,,,,,,,,,,,,,,,,,
603,0,1.23,0.49,,,,0.29,2.8,3.48,-0.01,-0.02,0.95,-0,-0,0,0,,,,,,,,,,
623,0,1.24,0.49,,,,0.3,2.8,3.46,,,,,,,,,,,,,,,,,
643,0,1.24,0.49,0.0,0.25,0.19,0.3,2.8,3.43,-0.01,-0.02,0.96,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
663,0,1.24,0.48,,,,0.3,2.8,3.46,,,,,,,,,,,,,,,,,
683,0,1.23,0.49,,,,0.31,2.8,3.44,-0.01,-0.02,0.97,-0,-0,-0,0,,,,,,,,,,
703,0,1.24,0.49,,,,0.31,2.8,3.46,,,,,,,,,,,,,,,,,
723,0,1.23,0.49,,,,0.31,2.8,3.45,-0.01,-0.02,0.98,-0,-0,-0,0,,,,,,,,,,
743,0,1.24,0.49,0.0,0.25,0.21,0.32,2.8,3.47,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
763,0,1.24,0.49,,,,0.32,2.8,3.49,-0.01,-0.02,0.98,-0,-0,-0,0,,,,,,,,,,
783,0,1.24,0.49,,,,0.32,2.8,3.48,,,,,,,,,,,,,,,,,
803,0,1.23,0.49,,,,0.33,2.8,3.47,-0.01,-0.02,0.98,-0,-0,-0,0,,,,,,,,,,
823,0,1.24,0.49,,,,0.33,2.8,3.48,,,,,,,,,,,,,,,,,
843,0,1.24,0.49,0.0,0.26,0.23,0.33,2.8,3.45,-0.01,-0.02,0.99,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
863,0,1.23,0.49,,,,0.33,2.79,3.49,,,,,,,,,,,,,,,,,
883,0,1.23,0.49,,,,0.34,2.8,3.46,-0.01,-0.02,0.99,-0,-0,-0,0,,,,,,,,,,
903,0,1.24,0.49,,,,0.34,2.8,3.49,,,,,,,,,,,,,,,,,
923,0,1.24,0.49,,,,0.35,2.79,3.5,-0.01,-0.02,0.99,-0,-0,-0,0,,,,,,,,,,
943,0,1.23,0.49,0.01,0.26,0.24,0.35,2.79,3.49,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
963,0,1.24,0.49,,,,0.35,2.79,3.46,-0.01,-0.02,0.99,-0,-0,-0,0,,,,,,,,,,
983,0,1.24,0.48,,,,0.35,2.79,3.51,,,,,,,,,,,,,,,,,
1003,0,1.24,0.49,,,,0.36,2.79,3.47,-0.01,-0.02,0.99,-0,-0,-0,0,,,,,,,,,,
1023,0,1.23,0.48,,,,0.36,2.79,3.5,,,,,,,,,,,,,,,,,
1043,0,1.23,0.49,0.0,0.27,0.26,0.36,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1063,0,1.23,0.49,,,,0.37,2.79,3.49,,,,,,,,,,,,,,,,,
1083,0,1.23,0.48,,,,0.37,2.78,3.46,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1103,0,1.23,0.49,,,,0.37,2.79,3.5,,,,,,,,,,,,,,,,,
1123,0,1.24,0.49,,,,0.37,2.79,3.46,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1143,0,1.23,0.48,0.01,0.27,0.27,0.38,2.78,3.49,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1163,0,1.23,0.49,,,,0.38,2.79,3.46,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1183,0,1.24,0.49,,,,0.38,2.79,3.51,,,,,,,,,,,,,,,,,
1203,0,1.23,0.49,,,,0.38,2.78,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1223,0,1.24,0.49,,,,0.39,2.79,3.53,,,,,,,,,,,,,,,,,
1243,0,1.23,0.49,0.0,0.27,0.29,0.39,2.79,3.46,-0.01,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1263,0,1.23,0.49,,,,0.39,2.79,3.49,,,,,,,,,,,,,,,,,
1283,0,1.23,0.49,,,,0.39,2.8,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1303,0,1.23,0.49,,,,0.4,2.79,3.49,,,,,,,,,,,,,,,,,
1323,0,1.23,0.49,,,,0.4,2.79,3.46,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1343,0,1.24,0.49,0.01,0.27,0.3,0.4,2.79,3.49,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1363,0,1.23,0.49,,,,0.41,2.79,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1383,0,1.23,0.49,,,,0.41,2.79,3.5,,,,,,,,,,,,,,,,,
1403,0,1.24,0.49,,,,0.41,2.8,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1423,0,1.23,0.48,,,,0.42,2.79,3.49,,,,,,,,,,,,,,,,,
1443,0,1.23,0.49,0.0,0.27,0.32,0.42,2.78,3.46,-0.01,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1463,0,1.23,0.49,,,,0.42,2.8,3.49,,,,,,,,,,,,,,,,,
1483,0,1.23,0.48,,,,0.42,2.79,3.46,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1503,0,1.23,0.48,,,,0.43,2.79,3.5,,,,,,,,,,,,,,,,,
1523,0,1.23,0.49,,,,0.43,2.8,3.51,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1543,0,1.23,0.49,0.01,0.27,0.34,0.43,2.8,3.5,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1563,0,1.23,0.49,,,,0.43,2.79,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1583,0,1.23,0.49,,,,0.44,2.79,3.52,,,,,,,,,,,,,,,,,
1603,0,1.23,0.49,,,,0.44,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1623,0,1.23,0.49,,,,0.44,2.79,3.5,,,,,,,,,,,,,,,,,
1643,0,1.23,0.49,0.0,0.28,0.35,0.44,2.8,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1663,0,1.23,0.49,,,,0.44,2.79,3.5,,,,,,,,,,,,,,,,,
1683,0,1.23,0.5,,,,0.45,2.79,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1703,0,1.24,0.49,,,,0.45,2.79,3.5,,,,,,,,,,,,,,,,,
1723,0,1.23,0.48,,,,0.45,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1743,0,1.23,0.49,0.0,0.28,0.36,0.46,2.79,3.51,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1763,0,1.24,0.49,,,,0.46,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1783,0,1.24,0.49,,,,0.46,2.79,3.51,,,,,,,,,,,,,,,,,
1803,0,1.23,0.48,,,,0.46,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1823,0,1.24,0.49,,,,0.47,2.79,3.54,,,,,,,,,,,,,,,,,
1843,0,1.23,0.49,0.0,0.28,0.38,0.47,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1863,0,1.23,0.49,,,,0.47,2.79,3.51,,,,,,,,,,,,,,,,,
1883,0,1.23,0.49,,,,0.47,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1903,0,1.23,0.49,,,,0.48,2.8,3.51,,,,,,,,,,,,,,,,,
1923,0,1.23,0.49,,,,0.48,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1943,0,1.24,0.49,0.0,0.28,0.39,0.48,2.78,3.51,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
1963,0,1.24,0.49,,,,0.48,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
1983,0,1.24,0.49,,,,0.49,2.79,3.52,,,,,,,,,,,,,,,,,
2003,0,1.23,0.48,,,,0.49,2.79,3.49,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2023,0,1.23,0.49,,,,0.49,2.79,3.51,,,,,,,,,,,,,,,,,
2043,0,1.23,0.49,0.0,0.28,0.4,0.49,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2063,0,1.23,0.49,,,,0.49,2.79,3.51,,,,,,,,,,,,,,,,,
2083,0,1.23,0.49,,,,0.49,2.79,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2103,0,1.23,0.49,,,,0.5,2.8,3.51,,,,,,,,,,,,,,,,,
2123,0,1.23,0.49,,,,0.5,2.78,3.52,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2143,0,1.23,0.48,0.0,0.28,0.42,0.5,2.79,3.5,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2163,0,1.23,0.49,,,,0.5,2.79,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2183,0,1.24,0.49,,,,0.51,2.79,3.51,,,,,,,,,,,,,,,,,
2203,0,1.23,0.49,,,,0.51,2.79,3.49,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2223,0,1.23,0.49,,,,0.51,2.79,3.51,,,,,,,,,,,,,,,,,
2243,0,1.23,0.49,0.0,0.28,0.43,0.51,2.79,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2263,0,1.24,0.49,,,,0.52,2.78,3.5,,,,,,,,,,,,,,,,,
2283,0,1.23,0.49,,,,0.52,2.78,3.51,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
